id;nombre;categoria;precio;imagen
7622201705992;JUGO TANG MANZANA X 15GR;;460.000;
7622201706104;JUGO TANG NARANJA PACK X 8U;;420.000;
7622201706135;JUGO CLIGHT NARANJA DULCE PACK X 8U;;645.000;
7622201717377;JUGO TANG MANZANA PACK X 8U;;725.000;
7622201717414;JUGO VERAO NARANJA X 10GR;;230.000;
7622201733834;JUGO CLIGHT LIMONADA MARACUYA X 7.5GR;;330.000;
7622201733865;JUGO TANG MANDARINA X 15GR;;470.000;
7622201735340;JUGO TANG NARANJA DULCE X 15GR;;450.000;
7622201735371;JUGO TANG NARANJA MANGO X 15GR;;470.000;
7622201735685;JUGO TANG LIMONADA DULCE X 20 GR;;450.000;
7622201735715;JUGO TANG MULTIFRUTA X 15GR;;450.000;
7622201735746;JUGO TANG POMELO ROSADO X 18GR;;450.000;
7622201735777;JUGO TANG NARANJA- BANANA X 15GR;;450.000;
7622201745707;JUGO TANG NARANJA/DURAZNO X 15GR;;400.000;
7622201745738;JUGO TANG PERA X 15GR;;435.000;
7622201745936;JUGO TANG DURAZNO X 15GR;;290.000;
7622201745967;JUGO TANG ANANA X 15GR;;450.000;
7622201746018;JUGO TANG NARANJA-LIMA X 15GR;;470.000;
7622201746117;JUGO TANG UVA X 18GR;;450.000;
7622201746490;JUGO TANG FRUTILLA X 15GR;;450.000;
7622201807528;JUGO CLIGHT POM. ROSADO X 8 GR;;480.000;
7622201807733;JUGO CLIGHT MANZANA VERDE X 7.5GR;;330.000;
7622201814823;CAJA JUGO TANG NARANJA 20 X 18GR;;1196.000;
7622201816735;JUGO TANG MIX NAR-MARAC-FRUT X 18GR;;85.000;
7622201819668;GELATINA ROYAL FRAMBUESA X 40 GR;;70.000;
7622201819736;GELATINA ROYAL LIGHT CEREZA X 25 GR;;795.000;
7622201820596;GELATINA ROYAL LIGHT FRUTILLA X 25 GR;;795.000;
7622202012082;JUGO TANG BALANCE LIMONADA X 7GR;;295.000;
7622202012129;JUGO TANG BALANCE NARANJA X 7GR;;295.000;
7622202236846;JUGO CLIGHT LIMONADA ARANDANOS X 8 GRS;;480.000;
7622210578037;JUGO CLIGHT LIMONADA&PEPINO X 8GR;;85.000;
7622210969811;JUGO CLIGHT LIMONADA MENTA JENGIBRE X 8 GRS;;85.000;
7622300080129;JUGO CLIGHT KIWI-MELON;;85.000;
7622300143237;JUGO CLIGHT SPA;;85.000;
7622300349301;JUGO CLIGHT FRUTOS VERDES;;20.000;
7622300349349;JUGO CLIGHT FRUTOS AMARILLOS;;20.000;
7622300349370;JUGO CLIGHT FRUTOS ROJOS;;85.000;
7622300506742;POSTRE ROYAL CARAMELO X 75GR;;46.000;
7622300580117;JUGO TANG REMIX NARANJA Y FRAMBUESA;;85.000;
7622300580162;JUGO TANG REMIX UVA Y MANGO ;;85.000;
7622300580292;JUGO TANG REMIX SANDIA Y MELON;;85.000;
